"","primitive","classical","secretory","basal"
"A2BP1",-0.0156647933082601,-0.0033906092438174,0.0315854548586905,-0.00333774690910671
"A2M",-0.0400746141349164,-0.171879304994287,1.09809110486099,-0.185885738413778
"A4GALT",-0.346673486069745,0.296016556663595,-0.290021513581364,0.0481535396769399
"A4GNT",-0.0365719242882948,0.014459629716908,0.0603233938365748,-0.068074472536402
"AAAS",0.0285481790328088,0.0071547863815633,-0.0201208402935928,-0.0267140713585358
"AADAC",-0.851329814442466,0.440445474098904,-0.185933866622091,0.0674681082687638
"AAK1",-0.0734597427855833,0.0463593699892626,0.0256761626529056,-0.0431974121324182
"AAMP",0.11494080490915,0.0743538529596641,-0.0936188892162298,-0.0299832456768143
"AANAT",-0.0348335016787726,0.0179055581843118,0.0469302351517511,-0.0244755196926802
"AARS",0.008479610337561,0.129715639051586,-0.116899096762884,-0.0818253702676752
"AASDHPPT",0.154668694471307,0.0407199486016523,-0.0119137183633624,-0.0381776273707773
"AASS",-0.100745257130773,0.0916123489004996,0.0352063246409147,0.064577006894666
"AATF",0.0144523983660561,0.149447625483505,-0.155995733068748,-0.0934471912002317
"AATK",-0.101262549128588,-0.0154084185915906,0.133210479953465,-0.0603380339026817
"ABAT",-0.0696095262707765,-0.114390277437285,0.0993523053384936,0.111109163491352
"ABBA-1",-0.00186180307992259,-0.00797975043247945,-0.0150344729596474,0.0203333650951398
"ABCA1",-0.650223156887554,-0.000406366973402905,0.184597541743359,0.0517511982742372
"ABCA12",-0.200783271300126,0.221575081497385,-0.362705844782674,0.293899565123275
"ABCA2",-0.0523280074458313,0.0104377327277561,0.0614745669721905,-0.0730393201925401
"ABCA3",-0.313371064208569,-0.279820307306699,0.921661739619305,-0.212230046748863
"ABCA4",-0.0846714801092745,0.06460697923578,-0.0208489026211212,-0.0452877981843439
"ABCA5",-0.0517821931322512,0.264455266903091,-0.390135284957878,-0.109294180398584
"ABCA7",-0.237984332775283,-0.0885379355454119,0.24360306323324,-0.0822083910060738
"ABCA8",-0.205933718013743,-0.0753416879202893,0.805419325038339,-0.0851382753953808
"ABCB1",-0.0522876544124655,-0.0412996355419996,0.20275767573458,-0.0443934327856402
"ABCB6",0.11324768786794,0.714857910316653,-0.637677640692283,-0.190954274606636
"ABCB7",0.0869448928990875,-0.0358716770705373,0.0405808360554723,-0.0408915563512311
"ABCB9",-0.00302459439734715,-0.0175058555944643,0.00801122695881363,-0.0681468437038275
"ABCC10",-0.0216412063034882,0.0150536422004849,-0.0940847099628436,0.047003404487007
"ABCC2",-0.0365507817310685,0.038638923202663,0.0644682212342734,-0.0319753682738548
"ABCC3",-0.791904222361905,0.476151732180414,-0.0124138557244282,-0.439282209867675
"ABCC4",0.0771766438538425,0.107266184739414,-0.0395772099557705,-0.0786561827509217
"ABCC5",-0.60737403306647,0.8807155561644,-1.14972922898136,-0.0887471181725821
"ABCC6",0.0076063210604985,-0.0825951745783873,0.266797923520242,-0.091488268742143
"ABCC8",0.0337374397115281,0.0224382994906099,-0.059717018389198,-0.0443144557399859
"ABCC9",-0.101449477460893,-0.0899140610854692,0.156998553666263,0.0835552539233834
"ABCD1",-0.0382057969838505,-0.00577033579539443,0.0117114187604548,-0.0341768369687406
"ABCD4",-0.0460840899404145,-0.122202901970936,0.0851929008363146,0.0691679690158013
"ABCE1",0.222500564886023,0.0388587353241289,-0.161599217767129,0.0348616422655719
"ABCF3",-0.15107989544315,0.233709397535732,-0.309418858923268,0.0293665963018972
"ABCG1",-0.42803624742798,0.00780092548113598,0.113063606334508,-0.0611785266123513
"ABCG2",-0.247841958113423,0.14111615140173,0.157246094853165,-0.216953518560762
"ABCG4",-0.0683665564731826,0.00199906645617176,0.0163511987132925,0.034767209056078
"ABCG5",0.00585089828599883,0.0028482592891006,-0.00975077829083737,0.0132803610502997
"ABHD14A",0.134657032963877,-0.12127618510836,0.218865023829511,-0.0259845535425391
"ABHD2",-0.103107533862648,0.361348903576364,-0.081842016624495,-0.0987388436129992
"ABHD3",-0.22395238203445,0.443603210519336,-0.193362940743947,-0.341447456964503
"ABHD4",-0.279338677571585,0.33404381423787,-0.159803066002978,-0.0883736664354794
"ABHD5",-0.126000993835507,0.0421616594674444,-0.069232275660515,0.0212614334825322
"ABHD6",-0.253370793424048,0.13169769539173,0.0611573300140593,-0.091689256260289
"ABHD8",0.0574655192637874,0.0281862833562463,-0.0414557392235912,-0.04848643141703
"ABHD9",-0.200083465495863,-0.00268726464781777,-0.0267031370150592,0.608495627085911
"ABI1",-0.21670901313837,0.0932815149361934,-0.183134934040984,0.195927542250571
"ABI2",0.309889834714459,0.000483528860565421,0.01213206891297,-0.1421687680669
"ABL1",0.0633933629512775,-0.0347300674475883,0.0414532671347024,-0.107275917515517
"ABLIM1",-0.115869044990161,0.240623898670726,-0.251451876494748,-0.0740609822089322
"ABLIM3",-0.16272997509795,-0.245604931608158,0.680775379712071,0.0522151365688506
"ABR",-0.121345251737454,-0.17040354816906,0.273059229052717,-0.025401063239914
"ABT1",0.157929365523839,0.0836478751130778,-0.184028284478797,0.0909630021626886
